證券代碼,Y,存貨週轉率大於 8.515,有投保董監責任險,獨立董監有兼任,當年度財報重編,3 年內 CPA 有異動,董事長兼任總經理,董事長內部化,總經理內部化,財務主管內部化,監察人內部化,3 年內董事長有異動,3 年內總經理有異動,3 年內財務主管有異動,3 年內發言人有異動,3 年內內部稽核有異動,四大會計師事務所簽證
5314 世紀,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
3431 長天,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2340 台亞,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1
2369 菱生,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2458 義隆,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
2640 大車隊,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
3130 一零四,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1
3189 景碩,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1
3260 威剛,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1
3687 歐買尬,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1
3707 漢磊,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
5287 數字,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
5321 美而快,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6257 矽格,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
6488 環球晶,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1
6689 伊雲谷,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6690 安碁資訊,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6741 91APP*-KY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6789 采鈺,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6811 宏碁資訊,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8131 福懋科,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
8477 創業家,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1
3519 綠能,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3085 新零售,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0
3035 智原,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
3265 台星科,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1
3268 海德威,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
3413 京鼎,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3443 創意,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3450 聯鈞,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
3545 敦泰,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1
3555 博士旺,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
3567 逸昌,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3672 康聯訊,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1
3684 榮昌,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1
4905 台聯電,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1
4923 力士,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
4945 陞達科技,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1
4951 精拓科,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
4952 凌通,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
4961 天鈺,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4991 環宇-KY,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1
5274 信驊,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1
5285 界霖,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
5348 系通,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5487 通泰,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
6202 盛群,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
6261 久元,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1
6271 同欣電,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
6287 元隆,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
6411 晶焱,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1
6426 統新,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1
6451 訊芯-KY,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1
6465 威潤,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
6470 宇智,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
6514 芮特-KY,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
6525 捷敏-KY,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1
6530 創威,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
6532 瑞耘,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1
6568 宏觀,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
6588 東典光電,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
6640 均華,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
6651 全宇昕,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1
6683 雍智科技,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1
6708 天擎,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
6716 應廣,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
6788 華景電,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6823 濾能,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7556 意德士,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8016 矽創,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
8054 安國,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1
8227 巨有科技,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
8261 富鼎,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1
2434 統懋,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1
3536 誠創,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3579 尚志,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6198 瑞築,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
3095 及成,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1
2444 兆勁,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
3027 盛達,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1
3081 聯亞,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
3138 耀登,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
3163 波若威,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3221 台嘉碩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3234 光環,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3363 上詮,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1
3447 展達,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
3558 神準,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1
3669 圓展,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
4908 前鼎,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1
4909 新復興,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4977 眾達-KY,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
5353 台林,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1
6136 富爾特,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0
6143 振曜,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1
6170 統振,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1
6216 居易,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1
6241 易通展,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6416 瑞祺電通,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
6417 韋僑,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
6426 統新,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6465 威潤,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6470 宇智,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1
6486 互動,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6530 創威,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
6561 是方,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
6792 詠業,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6863 永道-KY,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
3632 研勤,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0
4903 聯光通,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
8101 華冠,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2303 聯電,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2329 華泰,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1
2337 旺宏,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
2344 華邦電,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1
2408 南亞科,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2449 京元電子,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1
2454 聯發科,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1
3711 日月光投控,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1
5346 力晶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5347 世界,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
6770 力積電,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
2332 友訊,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1
2345 智邦,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
2412 中華電,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
2455 全新,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1
3045 台灣大,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
3047 訊舟,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1
3380 明泰,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
3682 亞太電,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
3694 海華,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
3704 合勤控,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1
4906 正文,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1
4979 華星光,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
6142 友勁,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1
6152 百一,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
6163 華電網,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0
6190 萬泰科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6245 立端,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1
6285 啟碁,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8011 台通,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1
8059 凱碩,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1
3419 譁裕,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
4904 遠傳,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
3115 富榮綱,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0
3369 鐵研,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3465 進泰電子,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1
3492 長盛,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
1595 川寶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3597 映興,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1
3609 三一東林,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1
3646 艾恩特,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
4542 科嶠,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5228 鈺鎧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5291 邑昇,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6114 久威,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1
6156 松上,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1
6194 育富,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
6204 艾華,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
6210 慶生,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
6250 宇加,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6259 百徽,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0
6292 迅德,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
8091 翔名,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1
8093 保銳,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1
8147 正淩,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
2476 鉅祥,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
