證券代碼,Y,ROA 稅前息前折舊前,ROA 稅後息前,ROA 稅後息前折舊前,ROE 稅後,ROE 常續利益,已實現銷貨毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支 / 營收,常續利益率 稅後,營業費用率,現金流量比率,有息負債利率,稅率,每股淨值,常續性 EPS,每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性固定資產成長率,總資產報酬成長率,流動比率,速動比率,利息支出率,總負債 / 總淨值,負債比率,淨值 / 資產,長期資金適合率,借款依存度,或有負債 / 淨值,營業利益 / 實收資本比,稅前純益 / 實收資本,存貨及應收帳款 / 淨值,應收帳款週轉次數,總資產週轉次數,固定資產週轉次數,淨值週轉率（次）,淨營業週期（日）
6241 易通展,0,9.25,7.65,8.96,8.8,8.78,29.23,7.02,7.39,7.38,0.37,7.37,22.2,40,0,0.13,7.79,0.66,0.41,8.89,0.62,0.66,-0.44,-17.42,-17.42,-37.73,-25.41,-25.44,-25.44,-25.7,5.67,9.04,-53.23,-3.6,822.14,647.56,0,13.21,11.67,88.33,9860.54,0,0,6.25,6.57,32.58,8.12,1.04,71.77,1.19,70.3
6417 韋僑,0,10.67,5.11,10.44,7.75,7.75,20.73,3.82,3.49,4.22,-0.34,4.22,16.91,5.33,1.15,0,11.36,0.75,0.37,17.85,0.68,0.66,38.47,42.43,42.43,-5.43,-14.8,5.16,5.16,5.16,72.22,40.71,113.46,2.69,214.42,131.49,2.18,67.37,40.25,59.75,270.02,22.04,0,6.82,6.22,65.85,8.54,1.19,5.23,1.84,78.22
6426 統新,0,,,,,,43.65,30.1,25.39,22.97,-4.7,23.05,13.55,60.64,,9.54,14.41,5.84,,25.34,7.63,,,,,,,,,,,,,,98.14,58.36,5.03,127.45,56.03,43.97,101.5,99.49,0,76.27,64.35,73.32,,,,,
6588 東典光電,0,25.02,10.02,24.11,10.77,14.06,40.37,28.43,18.91,16.16,-9.52,21.1,11.93,301.84,0,14.54,11.45,1.53,3.22,7.24,2.06,1.37,51.09,136.13,136.13,354.79,633.23,699.95,699.95,944.43,16.02,11.36,-13.98,10.55,744.56,510.73,0.01,9.59,8.75,91.25,255.98,0,0,20.58,13.69,30.68,5.13,0.62,1.5,0.67,216.73
2321 東訊,1,-7.28,-10.72,-9.77,-24.49,-28.63,2.38,-10.71,-9.05,-9.05,1.66,-10.58,13.09,-12.28,1.08,0,4.66,-2.27,-1.43,27.91,-2.99,-2.53,-9.97,-60.88,-60.88,-26.43,1.33,-0.94,-0.94,-18.02,-7.06,-20.78,80.33,0.16,110.34,69.69,-3.17,142.69,58.79,41.21,173.02,88.37,0,-29.9,-25.26,94.68,5.43,1.22,6.01,2.71,68.21
2640 大車隊,0,26.71,15.9,23.07,22.17,23.28,50.69,17.75,18.4,15.37,0.64,16.14,32.94,89.72,1.84,16.44,18.73,3.96,5.48,24.51,4.35,4.58,28.78,19.69,19.69,9.99,14.37,16.77,16.77,18.2,30.9,22.78,22.79,4.49,148.7,137.3,0.14,43.59,30.36,69.64,237.79,4.67,0,43.51,45.08,21.85,7.32,1.03,3.29,1.44,10.89
3130 一零四,0,17.61,12.49,14.85,18.55,18.57,43.26,11.32,11.52,9.74,0.21,9.75,31.94,46.03,0.45,15.49,36.44,6.72,8.35,68.59,7.76,7.91,2.44,1.93,1.93,-10.38,-9.51,-13.55,-13.55,-13.54,4.33,2.7,34.43,-1.91,264.55,258.42,0.01,49.67,33.18,66.82,710.75,1.22,0,77.64,79.05,19.11,10.4,1.28,14.79,1.9,33.13
3687 歐買尬,0,48.11,31.9,39.76,42.93,42.96,68.52,37.61,36.63,30.21,-0.98,30.24,30.91,239.44,0,17.52,40.71,11.92,23.77,39.41,14.82,14.43,48.23,80.01,80.01,270.69,365.9,420.13,420.13,420.57,110.57,175.78,-20.86,43.32,356.33,343.93,0.06,24.39,19.6,80.4,1579.68,0,0,148.22,144.35,8.29,9.38,1.06,13.51,1.42,12.95
5287 數字,0,32.9,26.6,27.3,55.58,55.59,89.94,48.79,52.2,43.3,3.41,43.3,41.16,81.27,0,17.06,30.11,14.61,25.09,33.74,16.46,17.61,10.65,11.08,11.08,86.65,80.63,90.1,90.1,90.12,24.99,34.13,54.11,14.38,190.3,187.34,0,102.61,50.64,49.36,1473.04,0,0,164.61,176.12,3.27,9.36,0.61,22.88,1.28,40.53
5321 美而快,0,-11.29,-20.9,-13.55,-64.61,-64.61,-42.53,-62.93,-65.16,-66.41,-2.23,-66.41,20.4,-20.58,3.75,0,3.89,-3.29,-2.47,4.95,-3.12,-4.72,-13.68,-559.65,-559.65,-150.97,-135.15,-139.65,-139.65,-84.67,5.66,-38.3,-6.49,-11.75,32.41,15.65,-9.46,286.03,74.1,25.9,61.97,223.06,0,-31.18,-32.28,37,5.44,0.34,0.44,0.97,19.49
